n
"{""x"":87.33329392120282,""y"":144.48440940770791,""clusterNumber"":1}"
"{""x"":-22.605420378582266,""y"":143.3763423247318,""clusterNumber"":1}"
"{""x"":-43.531545130782504,""y"":-78.59562689666265,""clusterNumber"":1}"
"{""x"":-50.787744088421064,""y"":-8.4227386147179,""clusterNumber"":1}"
"{""x"":-49.27006354459504,""y"":-62.17224433217963,""clusterNumber"":1}"
"{""x"":10.554866470533696,""y"":-49.96874402881406,""clusterNumber"":1}"
"{""x"":62.84512714749249,""y"":82.46356692890708,""clusterNumber"":1}"
"{""x"":-22.70013073617136,""y"":135.91955414048482,""clusterNumber"":1}"
"{""x"":-11.006477800388879,""y"":-95.39461442480408,""clusterNumber"":1}"
"{""x"":-62.24063901373846,""y"":-70.64612941821234,""clusterNumber"":1}"
"{""x"":-83.16040398221617,""y"":118.45389585910033,""clusterNumber"":1}"
"{""x"":88.00098400465632,""y"":-23.63039627462024,""clusterNumber"":1}"
"{""x"":-70.29667459330373,""y"":70.98456187933087,""clusterNumber"":1}"
"{""x"":43.78710025958719,""y"":20.33269341158146,""clusterNumber"":1}"
"{""x"":-74.15471903585646,""y"":143.29527666151074,""clusterNumber"":1}"
"{""x"":70.58407454122715,""y"":36.57816914956149,""clusterNumber"":1}"
"{""x"":-73.64482640162821,""y"":153.48832657608057,""clusterNumber"":1}"
"{""x"":78.21218313091455,""y"":105.84198646809341,""clusterNumber"":1}"
"{""x"":3.2822136043581054,""y"":145.26217055637522,""clusterNumber"":1}"
"{""x"":-79.5460442474824,""y"":158.3440416455486,""clusterNumber"":1}"
"{""x"":81.9133047442192,""y"":116.30028635842967,""clusterNumber"":1}"
"{""x"":0.5968162496263005,""y"":-65.2981621715247,""clusterNumber"":1}"
"{""x"":75.75396806921319,""y"":-120.11436782367727,""clusterNumber"":1}"
"{""x"":-21.87377995606542,""y"":161.08327145564027,""clusterNumber"":1}"
"{""x"":49.43121885535112,""y"":-150.75677652025627,""clusterNumber"":1}"
